stem,precision,recall,target_count,non_target_count,original_words
director,0.7142857142857143,0.21739130434782608,5,2,"directorate, directors"
urgent,0.7142857142857143,0.21739130434782608,5,2,urgent
engin,0.7142857142857143,0.21739130434782608,5,2,"engine, engineered, engineering, engineers, engines"
reliability,0.7142857142857143,0.21739130434782608,5,2,reliability
illeg,0.7142857142857143,0.21739130434782608,5,2,illegal
desir,0.7142857142857143,0.21739130434782608,5,2,"desirable, desire, desired, desiring, desirous"
conserv,0.7142857142857143,0.21739130434782608,5,2,"conservation, conserve, conserving"
lisbon,0.7142857142857143,0.21739130434782608,5,2,lisbon
dynam,0.7142857142857143,0.21739130434782608,5,2,"dynamic, dynamics"
ecosystem,0.7142857142857143,0.21739130434782608,5,2,"ecosystem, ecosystems"
liv,0.7142857142857143,0.21739130434782608,5,2,"lived, living"
mandatory,0.7142857142857143,0.21739130434782608,5,2,mandatory
mitig,0.7142857142857143,0.21739130434782608,5,2,"mitigate, mitigation"
pillar,0.7142857142857143,0.21739130434782608,5,2,pillars
deep,0.7142857142857143,0.21739130434782608,5,2,deep
get,0.7142857142857143,0.21739130434782608,5,2,"get, gets"
leader,0.7142857142857143,0.21739130434782608,5,2,"leader, leaders"
neighbourhood,0.7142857142857143,0.21739130434782608,5,2,neighbourhood
nuclear,0.7142857142857143,0.21739130434782608,5,2,nuclear
thorough,0.7142857142857143,0.21739130434782608,5,2,thorough
foster,0.7058823529411765,0.5217391304347826,12,5,"foster, fostered, fostering, fosters"
sea,0.7,0.30434782608695654,7,3,"sea, seas"
actively,0.7,0.30434782608695654,7,3,actively
incent,0.7,0.30434782608695654,7,3,"incentive, incentives"
approximately,0.7,0.30434782608695654,7,3,approximately
align,0.7,0.30434782608695654,7,3,"align, aligned, aligning, alignment, aligns"
channel,0.7,0.30434782608695654,7,3,"channel, channelled, channelling, channels"
job,0.7,0.30434782608695654,7,3,"job, jobs"
swd,0.7,0.30434782608695654,7,3,swd
dedicat,0.7,0.30434782608695654,7,3,dedicated
consolid,0.7,0.30434782608695654,7,3,"consolidate, consolidates, consolidation"
chain,0.7,0.30434782608695654,7,3,"chain, chains"
leverag,0.7,0.30434782608695654,7,3,"leverage, leveraging"
candid,0.7,0.30434782608695654,7,3,"candidate, candidates"
sustain,0.6923076923076923,0.782608695652174,18,8,"sustainable, sustained"
exploit,0.6923076923076923,0.391304347826087,9,4,"exploit, exploitation, exploited, exploiting, exploits"
sett,0.6818181818181818,0.6521739130434783,15,7,setting
kei,0.6666666666666666,0.782608695652174,18,9,"key, keyed, keys"
plai,0.6666666666666666,0.6086956521739131,14,7,"play, played, playing, plays"
busi,0.6666666666666666,0.5217391304347826,12,6,"business, businesses"
mak,0.6666666666666666,0.5217391304347826,12,6,making
crucial,0.6666666666666666,0.43478260869565216,10,5,crucial
transfer,0.6666666666666666,0.43478260869565216,10,5,"transfer, transferable, transfers"
technolog,0.6666666666666666,0.43478260869565216,10,5,technological
