# Author: Katelyn Nutley
# Title: Target Keywords Output from MNIR 
# Date: 02-10-2026

TARGET KEYWORDS
Total search set: 99
Target set size: 23
Non-target set size: 76

226. aquat (aquatic)    (Recall: 0.09, Precision: 100.0%)
227. deplet (depleted depletion)    (Recall: 0.09, Precision: 100.0%)
228. mapp (mapping)    (Recall: 0.09, Precision: 100.0%)
229. catalyst    (Recall: 0.09, Precision: 100.0%)
230. sector-specif (sector-specific)    (Recall: 0.09, Precision: 100.0%)
231. whistle-blow (whistle-blowers)    (Recall: 0.09, Precision: 100.0%)
232. peer (peer peers)    (Recall: 0.09, Precision: 100.0%)
233. openly    (Recall: 0.09, Precision: 100.0%)
234. medium-term    (Recall: 0.09, Precision: 100.0%)
235. underwai (underway)    (Recall: 0.09, Precision: 100.0%)
236. forestry    (Recall: 0.09, Precision: 100.0%)
237. divert (divert diverted)    (Recall: 0.09, Precision: 100.0%)
238. litter (litter littering)    (Recall: 0.09, Precision: 100.0%)
239. bat    (Recall: 0.09, Precision: 100.0%)
240. qualify (qualify qualifying)    (Recall: 0.09, Precision: 100.0%)
241. frequent    (Recall: 0.09, Precision: 100.0%)
242. nois (noise)    (Recall: 0.09, Precision: 100.0%)
243. pict    (Recall: 0.09, Precision: 100.0%)
244. frontrunn (frontrunner frontrunners)    (Recall: 0.09, Precision: 100.0%)
245. pathwai (pathway pathways)    (Recall: 0.09, Precision: 100.0%)
246. natura    (Recall: 0.09, Precision: 100.0%)
247. tomorrow    (Recall: 0.09, Precision: 100.0%)
248. greatly    (Recall: 0.09, Precision: 100.0%)
249. land-bas (land-based)    (Recall: 0.09, Precision: 100.0%)
250. durability    (Recall: 0.09, Precision: 100.0%)
251. electronically    (Recall: 0.09, Precision: 100.0%)
252. statut (statute)    (Recall: 0.09, Precision: 100.0%)
253. weapon (weapons)    (Recall: 0.09, Precision: 100.0%)
254. uneven    (Recall: 0.09, Precision: 100.0%)
255. thirty    (Recall: 0.09, Precision: 100.0%)
256. ipcc    (Recall: 0.09, Precision: 100.0%)
