stem,source,precision,recall,lift,original_words
converg,seed,0.75,0.2608695652173913,,"convergence, converging"
modern,seed,0.75,0.2608695652173913,,"modern, modernization"
track,seed,0.75,0.2608695652173913,,"track, tracked, tracking"
approxim,seed,0.75,0.2608695652173913,,approximation
seven,seed,0.75,0.2608695652173913,,seven
mutually,seed,0.75,0.2608695652173913,,mutually
realis,seed,0.75,0.2608695652173913,,"realisation, realise, realised"
debat,seed,0.75,0.2608695652173913,,"debate, debated, debates"
land,seed,0.75,0.2608695652173913,,"land, landing, lands"
driver,seed,0.75,0.2608695652173913,,"driver, drivers"
clean,seed,0.75,0.2608695652173913,,clean
nevertheless,seed,0.75,0.2608695652173913,,nevertheless
parallel,seed,0.75,0.2608695652173913,,"parallel, parallels"
announc,seed,0.75,0.2608695652173913,,"announced, announcement"
learn,seed,0.75,0.2608695652173913,,"learned, learning"
carbon,seed,0.75,0.2608695652173913,,carbon
sink,seed,0.75,0.13043478260869565,,"sink, sinks"
habitat,seed,0.75,0.13043478260869565,,"habitat, habitats"
sometim,seed,0.75,0.13043478260869565,,sometimes
declin,seed,0.75,0.13043478260869565,,"decline, declined, declining"
children,seed,0.75,0.13043478260869565,,children
fossil,seed,0.75,0.13043478260869565,,fossil
stringent,seed,0.75,0.13043478260869565,,stringent
judiciary,seed,0.75,0.13043478260869565,,judiciary
har,seed,0.75,0.13043478260869565,,"harness, harnessed, harnessing"
hamper,seed,0.75,0.13043478260869565,,"hamper, hampered, hampering"
commercialis,seed,0.75,0.13043478260869565,,"commercialisation, commercialise"
inspir,seed,0.75,0.13043478260869565,,"inspire, inspired"
blue,seed,0.75,0.13043478260869565,,blue
prescrib,seed,0.75,0.13043478260869565,,"prescribe, prescribed"
miss,seed,0.75,0.13043478260869565,,"miss, missed, missing"
reli,seed,0.75,0.13043478260869565,,"relied, relies"
vocat,seed,0.75,0.13043478260869565,,"vocation, vocational"
ventur,seed,0.75,0.13043478260869565,,"venture, ventures"
fisheri,seed,0.75,0.13043478260869565,,fisheries
min,seed,0.75,0.13043478260869565,,"min, mining"
entirely,seed,0.75,0.13043478260869565,,entirely
monei,seed,0.75,0.13043478260869565,,money
scrutiny,seed,0.75,0.13043478260869565,,scrutiny
prerequisit,seed,0.75,0.13043478260869565,,prerequisite
linkag,seed,0.75,0.13043478260869565,,linkages
judg,seed,0.75,0.13043478260869565,,"judged, judges"
inventori,seed,0.75,0.13043478260869565,,"inventoried, inventories"
launder,seed,0.75,0.13043478260869565,,laundering
motor,seed,0.75,0.13043478260869565,,"motor, motors"
municip,seed,0.75,0.13043478260869565,,"municipal, municipalities"
young,seed,0.75,0.13043478260869565,,young
