stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
snow-plough,9999.0,53,0,0.011172006745362563,0.0,snow-ploughs
payback,9999.0,53,0,0.011172006745362563,0.0,"payback, paybacks"
amico,9999.0,53,0,0.011172006745362563,0.0,amico
needs-bas,9999.0,53,0,0.011172006745362563,0.0,needs-based
crepe,9999.0,53,0,0.011172006745362563,0.0,"crepe, crepes"
nforcement,9999.0,52,0,0.010961214165261383,0.0,nforcement
snow-blow,9999.0,52,0,0.010961214165261383,0.0,"snow-blower, snow-blowers"
stitch-bond,9999.0,52,0,0.010961214165261383,0.0,"stitch-bonded, stitch-bonding"
electrodischarg,9999.0,52,0,0.010961214165261383,0.0,electrodischarge
oecd-ilibrary,9999.0,52,0,0.010961214165261383,0.0,oecd-ilibrary
eusr,9999.0,51,0,0.010750421585160203,0.0,"eusr, eusrs"
hmwb,9999.0,51,0,0.010750421585160203,0.0,"hmwb, hmwbs"
trophic,9999.0,51,0,0.010750421585160203,0.0,trophic
weft-wind,9999.0,51,0,0.010750421585160203,0.0,weft-winding
sulphur-treat,9999.0,51,0,0.010750421585160203,0.0,sulphur-treated
mileomet,9999.0,51,0,0.010750421585160203,0.0,mileometers
electro-mobility,9999.0,51,0,0.010750421585160203,0.0,electro-mobility
crep,9999.0,51,0,0.010750421585160203,0.0,"crep, creped, creps"
roadrol,9999.0,51,0,0.010750421585160203,0.0,roadrollers
fossil-bas,9999.0,51,0,0.010750421585160203,0.0,fossil-based
polyaromat,9999.0,51,0,0.010750421585160203,0.0,"polyaromatic, polyaromatics"
user-centr,9999.0,51,0,0.010750421585160203,0.0,"user-centred, user-centric"
buss,9999.0,51,0,0.010750421585160203,0.0,"buss, busses, bussing"
income-bas,9999.0,50,0,0.010539629005059023,0.0,"income-base, income-based"
snowblow,9999.0,50,0,0.010539629005059023,0.0,snowblowers
egmont,9999.0,50,0,0.010539629005059023,0.0,egmont
m-phenylenediamin,9999.0,50,0,0.010539629005059023,0.0,m-phenylenediamine
sight-test,9999.0,50,0,0.010539629005059023,0.0,sight-testing
bespok,9999.0,50,0,0.010539629005059023,0.0,bespoke
ethnically,9999.0,50,0,0.010539629005059023,0.0,ethnically
super-heat,9999.0,50,0,0.010539629005059023,0.0,"super-heated, super-heaters"
acility,9999.0,49,0,0.01032883642495784,0.0,acility
by-pass,9999.0,49,0,0.01032883642495784,0.0,"by-pass, by-passed, by-passes, by-passing"
delinquency,9999.0,49,0,0.01032883642495784,0.0,delinquency
polariz,9999.0,49,0,0.01032883642495784,0.0,"polarized, polarizing"
mistreat,9999.0,49,0,0.01032883642495784,0.0,"mistreated, mistreating, mistreatment, mistreatments"
terephthalamid,9999.0,49,0,0.01032883642495784,0.0,terephthalamide
multichip,9999.0,49,0,0.01032883642495784,0.0,"multichip, multichips"
env_eta,9999.0,49,0,0.01032883642495784,0.0,env_eta
cross-region,9999.0,49,0,0.01032883642495784,0.0,cross-regional
lugato,9999.0,49,0,0.01032883642495784,0.0,lugato
besom,9999.0,49,0,0.01032883642495784,0.0,besoms
sulphonaphthen,9999.0,49,0,0.01032883642495784,0.0,sulphonaphthenic
agility,9999.0,49,0,0.01032883642495784,0.0,agility
state-build,9999.0,48,0,0.01011804384485666,0.0,state-building
co-lead,9999.0,48,0,0.01011804384485666,0.0,"co-lead, co-leader, co-leaders, co-leading, co-leads"
eprocur,9999.0,48,0,0.01011804384485666,0.0,eprocurement
hair-net,9999.0,48,0,0.01011804384485666,0.0,hair-nets
queer,9999.0,48,0,0.01011804384485666,0.0,queer
whole-of-govern,9999.0,48,0,0.01011804384485666,0.0,whole-of-government
climate-chang,9999.0,48,0,0.01011804384485666,0.0,climate-change
under-develop,9999.0,48,0,0.01011804384485666,0.0,"under-developed, under-development"
uality,9999.0,48,0,0.01011804384485666,0.0,uality
unstuff,9999.0,47,0,0.00990725126475548,0.0,unstuffed
eu-facilitat,9999.0,47,0,0.00990725126475548,0.0,eu-facilitated
ntegrat,9999.0,47,0,0.00990725126475548,0.0,"ntegrat, ntegrate, ntegrated, ntegrating, ntegration"
